,male,female,white,black,native,asian,aapi,hispanic,non-hispanic white,income,less than 10k,10-15k,15-25,25-35,35-50,50-75k,75-100,100-150,150-200,200+,pct below PL,HH size,hs,college,rentals,owner-occupied,pop,over_18,over_65,employed,in civilian labor force,20-24,25-34,35-44,45-54,55-59,60-64,65-74,75-84,85+,County
"Dickens County, Texas: Summary level: 050, state:48> county:125",54.6,45.4,88.6,5.3,0.6,0.1,0.0,25.1,68.3,928,10.5,8.7,14.3,12.0,13.8,19.0,13.1,5.8,1.9,0.9,11.1,2.26,76.8,14.4,24.2,75.8,2339,80.7,21.1,41.7,47.3,4.6,9.0,15.1,13.4,9.3,4.6,11.7,6.9,2.5,Dickens
"Lee County, Texas: Summary level: 050, state:48> county:287",50.0,50.0,82.5,12.1,0.3,0.4,0.0,22.8,64.5,5967,5.8,6.1,11.2,12.2,12.6,17.7,15.1,12.9,3.2,3.3,10.7,2.69,82.8,17.0,24.6,75.4,16617,75.8,16.3,57.0,60.6,6.0,9.4,12.0,14.7,8.2,5.7,9.4,5.1,1.9,Lee
"Tarrant County, Texas: Summary level: 050, state:48> county:439",49.0,51.0,70.5,15.2,0.5,4.8,0.2,27.3,50.5,667362,5.9,4.5,9.8,9.9,13.3,19.0,12.8,14.3,5.5,5.2,11.9,2.79,84.7,29.7,38.8,61.2,1881469,72.5,9.6,63.6,69.0,6.8,14.7,14.2,14.0,5.8,4.7,5.6,2.9,1.1,Tarrant
"Anderson County, Texas: Summary level: 050, state:48> county:001",61.0,39.0,74.8,21.2,0.4,0.6,0.0,16.5,60.5,16610,8.3,7.6,11.5,15.3,13.6,17.4,11.0,9.7,3.2,2.4,14.1,2.75,80.2,11.3,27.4,72.6,58084,80.6,13.3,41.9,44.4,6.8,14.8,16.6,15.3,6.3,5.5,7.7,4.2,1.4,Anderson
"Ellis County, Texas: Summary level: 050, state:48> county:139",49.4,50.6,82.1,8.9,1.2,0.6,0.0,24.3,64.5,51814,4.5,4.6,8.7,8.7,13.5,19.2,15.2,15.7,5.8,4.0,9.2,2.95,84.3,21.2,27.3,72.7,154447,72.1,10.9,62.3,67.4,6.4,12.2,13.7,14.4,6.2,5.5,6.7,3.1,1.1,Ellis
"Jackson County, Texas: Summary level: 050, state:48> county:239",48.2,51.8,86.5,7.9,0.2,0.0,0.1,30.3,61.3,5216,6.7,7.7,10.2,8.1,16.4,18.5,15.1,12.7,2.9,1.7,9.5,2.71,81.5,16.5,25.0,75.0,14336,74.1,16.3,54.9,57.9,5.3,11.8,11.0,13.9,6.6,6.9,8.9,5.4,1.9,Jackson
"Kerr County, Texas: Summary level: 050, state:48> county:265",48.3,51.7,92.7,1.7,0.5,0.9,0.0,24.9,71.1,20353,6.2,6.9,14.1,13.4,16.0,16.3,10.9,9.8,3.3,3.1,12.6,2.36,88.2,28.3,29.0,71.0,49914,80.3,25.7,50.3,54.5,5.7,9.4,9.4,12.8,6.8,7.7,13.3,8.4,4.0,Kerr
"Milam County, Texas: Summary level: 050, state:48> county:331",49.7,50.3,83.8,8.4,1.0,0.4,0.0,24.4,64.3,9279,8.6,10.0,15.8,12.1,14.4,15.9,8.9,10.2,1.5,2.6,16.3,2.58,81.0,16.0,32.7,67.3,24388,74.4,18.2,50.0,55.1,5.2,10.6,10.6,13.7,7.5,6.4,9.8,5.7,2.8,Milam
"Comanche County, Texas: Summary level: 050, state:48> county:093",49.2,50.8,95.4,0.4,0.2,0.1,0.0,26.6,71.6,5096,10.5,8.2,14.6,15.8,15.9,15.8,10.0,6.5,1.8,0.9,16.8,2.66,77.1,18.3,25.2,74.8,13755,76.4,21.9,45.8,49.0,5.7,8.7,10.8,13.0,6.3,7.6,12.0,7.0,2.8,Comanche
"Falls County, Texas: Summary level: 050, state:48> county:145",47.0,53.0,69.7,25.1,0.1,0.1,0.0,21.7,52.1,5496,12.8,8.0,15.1,16.9,12.5,15.7,9.6,6.3,2.7,0.5,15.3,2.87,75.1,11.4,27.0,73.0,17524,78.5,16.4,43.9,47.8,6.7,12.7,12.1,14.4,6.4,6.3,8.8,5.3,2.3,Falls
"Brooks County, Texas: Summary level: 050, state:48> county:047",53.0,47.0,88.3,0.1,0.0,0.8,0.0,91.0,8.0,2346,19.3,15.5,21.5,7.9,9.5,11.0,7.3,6.2,1.2,0.7,34.8,2.95,66.7,11.0,35.2,64.8,7200,76.9,16.7,40.5,49.2,9.5,16.3,9.1,12.5,4.7,4.5,8.5,6.9,1.3,Brooks
"Austin County, Texas: Summary level: 050, state:48> county:015",50.1,49.9,83.6,9.0,0.1,0.0,0.0,24.9,64.3,10786,7.0,4.2,12.0,9.8,13.0,17.4,13.4,15.0,4.8,3.5,6.9,2.64,86.0,19.5,24.4,75.6,28724,75.2,16.6,59.2,63.7,5.7,9.3,12.4,14.1,7.4,6.9,9.7,4.6,2.2,Austin
"Kenedy County, Texas: Summary level: 050, state:48> county:261",50.9,49.1,96.2,1.7,0.0,0.2,0.0,72.9,26.9,131,4.6,2.3,31.3,6.1,21.4,18.3,7.6,8.4,0.0,0.0,17.5,4.01,67.9,14.3,69.5,30.5,528,70.1,12.5,52.3,52.3,5.1,16.9,9.3,12.3,6.6,6.1,8.0,4.5,0.0,Kenedy
"Colorado County, Texas: Summary level: 050, state:48> county:089",49.2,50.8,82.0,13.3,0.5,0.3,0.0,27.3,58.7,7702,9.0,6.7,12.5,10.7,16.7,18.3,8.5,10.9,3.3,3.4,13.1,2.65,81.9,17.5,21.1,78.9,20771,76.7,20.0,54.9,58.1,6.0,9.6,10.4,13.8,7.6,7.2,10.6,5.7,3.7,Colorado
"San Patricio County, Texas: Summary level: 050, state:48> county:409",50.0,50.0,91.8,2.0,0.4,1.0,0.0,55.2,41.0,22621,6.4,5.9,10.8,10.9,14.1,19.3,13.5,12.7,3.9,2.6,14.2,2.86,76.8,14.8,31.9,68.1,65509,72.4,13.5,57.6,61.2,6.5,12.3,12.2,13.4,6.4,5.4,7.8,4.2,1.4,San
"Randall County, Texas: Summary level: 050, state:48> county:381",49.1,50.9,90.4,2.6,0.6,1.5,0.0,18.1,76.0,48942,5.1,4.3,9.3,9.4,12.7,19.5,14.6,16.2,5.0,3.8,7.1,2.51,91.6,30.7,31.2,68.8,124862,75.4,12.9,66.2,69.3,7.4,14.4,12.4,13.0,6.5,5.7,7.4,4.0,1.5,Randall
