County,2018_Rep_Gov,2018_Rep_Sen,2018_Dem_Sen,2018_Dem_Gov,2018_Dem_Gov_Runoff,2016_Rep_Pres,2016_Dem_Pres,2014_Rep_Sen,2014_Rep_Gov,2014_Dem_Sen,2014_Dem_Gov,2014_Dem_Sen_Runoff,2012_Rep_Pres,2012_Rep_Sen,2012_Dem_Pres,2012_Dem_Sen,2012_Dem_Sen_Runoff,2010_Rep_Gov,2010_Dem_Gov,2008_Rep_Pres,2008_Rep_Sen,2008_Dem_Pres,2008_Dem_Sen,2006_Rep_Sen,2006_Rep_Gov,2006_Dem_Sen,2006_Dem_Gov,2006_Sen_Dem_Runoff,2004_Rep_Pres,2004_Dem_Pres,2002_Rep_Sen,2002_Rep_Gov,2002_Dem_Sen,2002_Dem_Gov,2002_Dem_Sen_Runoff,2000_Rep_Pres,2000_Rep_Sen,2000_Dem_Pres,2000_Dem_Sen,2000_Dem_Sen_Runoff,1998_Rep_Gov,1998_Dem_Gov,1996_Rep_Pres,1996_Rep_Sen,1996_Dem_Pres,1996_Dem_Sen,1996_Dem_Sen_Runoff,1994_Rep_Sen,1994_Rep_Gov,1994_Dem_Sen,1994_Dem_Gov,1994_Dem_Sen_Runoff,1992_Rep_Pres,1992_Dem_Pres
PANOLA,21.39,22,2.41,2.35,0.7,33.83,4.42,21.16,21.91,1,1.48,0.82,18.61,17.01,3.29,3.23,1.4,12.45,6.46,5.31,4.59,30.01,24.4,1.58,1.63,6.27,6.27,1.99,2.97,13.99,1.49,1.53,22.05,22.65,10.48,5.11,4.64,11.39,9.41,1.62,0.97,24.1,4.68,4.68,29.9,33.66,19.37,0.64,0.64,38.74,38.4,38.12,0.9,39.32
PARKER,18.81,18.88,2.6,2.55,0.99,33.5,4.14,16.32,16.76,1.66,1.79,0.64,17.15,16.73,1.12,1.05,0.43,21.4,1.82,22.21,19.55,13.29,10.43,8.5,8.89,1.19,1.2,0.31,11.04,2.78,10.47,10.94,3.84,3.81,1.94,17.59,15.86,3.79,3.34,0.28,8.11,3.57,15.4,15.01,7.37,7.42,3.61,7.29,7.4,8.36,8.25,5.69,9.95,20.48
PARMER,26.01,26.29,1.03,1.03,0.07,28.61,2.64,19.09,19.53,0.68,0.65,0.14,18.4,18.22,0.5,0.48,0.16,29.14,0.64,16.8,14.86,13.06,10,9.51,9.69,0.98,0.98,0.26,17.36,4.11,12.57,13.9,6.1,6.55,0.67,25.23,22.97,8.29,6.49,0.17,5.84,2.07,12.78,12.64,7.18,7.56,1.11,5,4.95,6.94,6.99,4.95,6.22,24.16
PECOS,8.27,8.42,7.65,7.08,2.63,15.78,18.4,7.82,8.1,6.27,7.19,0.8,6.78,6.59,12.14,10.03,7.21,6.75,23.97,6.63,5.84,24,18.33,1.22,1.26,25.98,25.29,18.02,1.93,26,3.03,3.44,26.7,30.06,10.77,6.63,5.8,27.52,21.99,17.18,1.75,17.29,3.39,3.35,25.67,28.41,21.97,1.62,1.66,35.95,37.19,5.63,2.19,28.98
POLK,13.88,13.91,2.09,2.09,0.9,21.05,3.29,15.29,15.4,1.26,1.32,0.5,14.36,13.05,1.71,1.53,0.51,14.32,2.84,11.94,9.91,16.93,12.23,4.84,5.03,4.12,4.25,0.75,3.73,7.7,2.49,2.51,8.48,8.73,4.28,8.14,7.25,11.41,9.19,1.18,2.31,8.42,7.66,7.56,12.75,12.43,2.92,2.92,2.96,26.74,26.77,13.91,4.56,26.8
POTTER,14.54,14.66,2.86,2.77,0.91,21.63,5.02,13.84,14,1.51,1.59,0.29,10.69,10.49,1.82,1.63,0.32,14.82,1.6,16.63,14.97,13.48,10.38,9.27,9.77,1.78,1.81,0.35,14.59,2.54,8.07,7.73,3.92,3.97,1.01,16.43,14.29,3.13,2.7,0.26,6.56,3.19,15.56,15.42,4.47,4.31,1.03,9.36,9.37,5.09,5.17,3.35,17.62,14.74
PRESIDIO,0.5,0.5,23.69,20.21,20.97,2.09,29.12,0.31,0.31,15.01,18.94,0.58,0.24,0.22,24.82,15.67,11.88,0.51,17.32,0.69,0.59,33.47,23.09,0.11,0.11,16.97,15.98,12.12,0.28,26.59,0.31,0.27,21.42,24.98,16.2,0.8,0.62,31.24,20.69,23.87,0.66,20.38,0.83,0.74,37.09,34.32,14,0.56,0.56,29.96,33.71,6.2,2.05,37.01
RAINS,20.19,20.53,2.48,2.48,1,32.71,3.94,17.29,17.84,1.48,1.64,0.54,19.63,19.05,1.81,1.63,0.27,25.44,3.7,13.19,11.44,24.48,18.7,3.56,3.82,6.51,6.64,0.9,3.42,22.17,3.35,3.58,26.05,25.95,18.72,5.55,5.23,19.93,15.03,13.15,2.47,14.1,5.02,4.9,30.57,34.47,8.69,1.78,1.83,42.37,42.39,15.31,2.58,36.96
RANDALL,19.52,19.72,2.18,2.06,0.55,30.4,3.85,17.08,17.31,1.13,1.16,0.25,15.98,15.69,0.81,0.75,0.25,19.14,1.29,19.99,18.53,12.86,9.88,12.71,13.12,0.99,1.01,0.2,21.93,1.62,13.71,13.72,1.94,1.96,0.45,21.37,19.69,1.82,1.6,0.09,17.18,1.46,17.64,18.32,2.4,2.57,0.56,19.87,18.7,2.88,2.87,1.8,20.69,8.45
REAGAN,26.78,26.51,0.27,0.33,0.11,44.19,1.04,15.15,16.73,0.57,0.51,0.06,37.15,34.31,0.34,0.23,0.06,33.87,0.53,39.44,33.89,3.66,2.9,12.59,12.75,3.33,3.33,0.32,51.91,0.85,29.5,33.94,1.23,1.23,0.43,50.84,43.74,1.93,1.46,0.42,6.35,1.86,30.16,19.82,8.23,7.9,1.3,14.59,15.35,5.48,5.37,3.36,3.13,39.01
REAL,44.26,42.16,1.11,1.19,0.32,52.63,2.12,37.27,38.61,0.59,0.59,0.08,24.91,23.75,1.08,0.99,0.33,41.32,0.58,38.13,32.68,8.17,6.18,18.35,20.47,1.51,1.43,0.33,28.55,2.07,16.85,19.73,1.73,1.81,0.9,22.86,18.91,3.7,3.19,0.67,24.81,5.94,12.04,11.53,5.63,5.72,1.21,9.54,9.59,10.28,9.1,4.33,6.72,26.16
RED RIVER,15.67,15.58,2.94,2.96,0.89,30.71,6.04,18.52,19.45,3.38,3.84,0.66,18.65,16.75,4.3,3.64,0.45,10.27,8.58,2.64,2.19,40.35,29.33,0.53,0.55,19.01,19.44,19.55,0.94,26.58,0.52,0.51,29.48,29.01,14.73,1.74,1.58,26.15,19.4,19.54,0.65,13.58,1.98,1.89,23.94,29.36,19.02,0.47,0.48,36.22,35.62,27.85,0.92,44.52
REEVES,0.83,0.83,18.27,17.02,3.62,1.9,27.68,0,0,17.93,21.37,25.47,0.47,0.45,29.83,23.38,30.74,0.71,30.94,0,0,35.17,25.63,0.03,0.06,23.01,22.51,26.4,0,34.59,0,0.01,33.9,39.92,8.11,0.29,0.25,34.93,25.94,18.35,0.05,23.04,0.74,0.69,36.21,34.1,4.34,0,0,40.25,44.01,21.5,0,43.84
REFUGIO,9.55,9.45,6.96,6.58,2.13,19.53,17.25,11.59,12.37,4.66,5.08,0.62,8.07,7.86,8.66,7.35,1.68,6.88,18.23,5.04,4.42,38.3,29.09,0.94,1.07,23.94,22.36,1.09,1.92,26.1,0.79,0.81,26.32,28.09,9.03,3.32,2.94,14.99,12.41,0.81,1.24,17.7,6.03,5.84,15.24,14.86,7.5,1.35,1.36,32.83,33.79,12.13,1.98,25.62
ROBERTS,38.9,38.48,0.42,0.42,0.42,57.33,0.73,44.68,47.23,0,0,0,33.68,31.89,0,0,0,33.75,0,36.92,32.25,0,0,37.78,38.49,0,0,0,24.23,0,37.45,42.91,0,0,0,47.3,42.01,2.58,2.46,0.74,17.35,2.29,26.75,27.02,6.36,9.4,1.85,18.52,19.15,15.27,14.27,6.76,4.71,49.74
ROBERTSON,21.6,21.24,5.43,5.28,2.04,23.31,11.25,11.39,11.8,12.16,14.38,6.03,12.8,12.39,8.76,7.54,1.6,11.06,9.06,6.15,5.58,29.09,20.69,3.66,3.89,18.94,19.41,16.82,4.16,19.74,2.52,2.64,28.47,28.64,31.09,4.78,4.45,25.55,22.58,11,1.61,23.9,3.52,3.48,33.84,35.81,36.44,2.19,2.15,18.25,19.4,10.09,2.76,27.5
ROCKWALL,16.26,16.32,4.08,4.06,1.02,32.34,5.42,16.02,16.23,1.82,1.94,0.78,17.97,17.58,1.4,1.26,0.6,21.3,1.61,18.99,16.83,19.49,13.84,9.65,10.12,0.81,0.81,0.28,13.19,2.07,9.52,10.08,2.21,2.18,1.78,24.38,21.28,1.65,1.25,0.17,14.12,1.06,25.25,24.63,2.59,2.6,1.35,11.83,11.92,4.25,4.18,3.63,23.73,9.58
RUNNELS,21.53,21.7,1.22,1.2,0.57,36.82,2.13,24.43,25.26,0.63,0.67,0.12,19.39,18.79,0.69,0.65,0.24,26.19,2.42,12.13,10.71,16.3,12.46,4.8,5.22,13.62,13.4,1.14,3.84,10.93,1.66,1.8,18.24,19.09,8.01,4.18,3.92,16.59,13.02,1.47,1.76,12.79,3.87,3.75,17.17,18.01,3.49,2.1,2.14,27.52,27.46,18.45,1.54,42.15
RUSK,18.45,18.65,2.67,2.63,1.2,32.15,4.74,15.03,15.49,1.1,1,0.31,19.87,18.51,2.02,2.04,1.01,19.87,2.15,17.11,13.65,16.78,11.49,10.81,11.62,2.4,2.45,0.4,12.8,6.56,3.66,3.77,6.88,7.01,3.43,10.02,8.71,9.86,7.06,1.75,2.87,4.06,9.73,9.52,16.12,18.66,13.67,3.81,3.71,19.9,18.74,10.34,4.13,25.38
SABINE,27.11,27.05,2.29,2.29,0.58,38.32,3.88,22.01,22.35,1.94,1.96,0.37,14.92,14.24,2.82,2.67,0.94,12.27,13.98,12.62,10.94,36.33,28.18,11.21,12.07,14.01,14.29,1.39,4.93,21.76,1.86,1.83,10.3,10.67,2.29,4.36,3.85,26.43,22.86,21.31,2.37,14.13,2.7,2.65,36.11,36.49,4.52,1.06,1.03,43.24,45.33,16.55,1.04,53.33
SAN AUGUSTINE,16.34,16.35,3.6,3.6,1.3,33.54,7.31,12.31,12.57,5.2,5.71,1.42,5.92,5.67,24.13,20.66,1.47,4.68,28.54,2.77,2.22,43.59,32.6,1.47,1.44,25.14,25.36,26.98,1.83,26.57,0.35,0.4,30.99,31.77,29.39,1.36,1.23,31.65,25.92,26.2,0.5,14.65,0.89,0.87,36.08,37.72,5.02,0.64,0.65,30.28,31.84,17.41,0.52,49.33
SAN JACINTO,24.65,24.39,2.88,2.82,0.79,28.65,4.68,15.56,15.79,3.57,3.85,0.87,12.57,12.23,8.18,7.53,0.97,13.45,11.24,9.57,8.35,27.34,20.85,4.71,4.91,10.59,11.14,3.73,4.51,13.39,3.4,3.45,22.18,22.55,14.47,6.99,6.32,22.04,19.35,8.54,3.27,16.05,6.05,5.88,30.28,28.25,23.5,2.32,2.37,27.45,27.99,8.7,2.76,32.57
SAN PATRICIO,10.89,10.9,5.31,5.02,1.67,17.89,9.15,8.24,7.49,3.68,4.19,2.71,7.99,7.88,5.94,4.2,1.47,8.12,4.69,6.66,5.87,20.51,16.34,3.37,3.53,6.35,5.75,2.27,2.02,8.66,2.74,2.93,11.95,12.81,5.8,3.96,3.66,8.01,6.53,0.81,1.73,3.01,6.08,5.96,15.14,14.59,5.93,4.82,4.89,19.03,19.09,17.35,3.9,21.85
SAN SABA,31.08,30.65,1.11,1.06,0.16,38.7,2.31,25.02,25.73,1.12,1.12,0.25,43.04,39.94,0.61,0.59,0.35,29.85,2.5,8.04,6.93,14.2,10.5,21.97,23.06,4.58,4.66,0.46,28.4,3.87,5.68,5.79,7.23,7.59,2.54,12.84,11.15,8.59,6.73,0.76,3.87,13.38,7.27,7.11,28.64,27.21,5.03,1.17,1.2,40.33,40.67,33.68,1.38,48.77
SCHLEICHER,23.9,23.45,3.95,4.01,1.58,29.25,5.06,23.73,24.58,7.68,8.93,1.75,13.61,13.1,3.47,3.3,1.54,17.52,3.31,13.88,12.29,18.51,14.73,5.02,5.07,3.34,3.56,1.29,5.64,21.74,8.14,9.02,17.38,19.2,2.15,12.96,11.94,8.38,6.45,1.25,4.59,9.56,2.99,2.93,38.13,38.07,45.38,5.84,5.9,37.74,36.85,32.78,3.75,45.72
SCURRY,21.44,21.37,0.92,0.91,0.43,30.38,2.69,17.65,18.22,1.02,1.03,0.09,22.54,21.53,1.05,1.05,0.2,26.5,1.94,21.33,17.99,9.53,7.43,5.7,5.48,1.47,1.46,0.33,10.11,2.81,7.3,8.07,5.19,5.43,0.69,13.65,11.9,5.89,4.83,2.42,16.84,2.86,9.68,9.41,12.74,13.06,1.45,8.68,9.19,20.5,20.04,6.68,4.24,21.36
SHACKELFORD,36.28,35.41,0.48,0.44,0.17,51.42,1.33,19.64,20.25,0,0,0,32.79,29.24,0.57,0.53,0.26,25.7,0.26,6.2,5.33,29.92,21.72,3.29,3.73,8.93,8.02,0.12,2.4,3.9,3.45,3.49,21.25,21.89,28.31,5.31,4.9,12.34,8.64,3.91,3.12,6.57,6.01,5.92,17.14,18.19,2.98,1.68,1.68,40.81,40.28,14.66,2.02,47.41
SHELBY,20.85,21.05,1.68,1.66,0.52,35.59,3.02,19.92,20.82,2.83,3.15,0.43,25.37,23.08,4.37,4.01,0.92,14.44,5.66,12,9.79,25.42,19.36,10.09,11.17,12.59,12.5,4.37,9.23,20.32,4.67,5,13.67,13.98,2.67,6.02,5.52,26.88,22.35,22.73,1.6,7.49,2.76,2.69,38.09,39.73,18.68,0.72,0.75,24.02,24.14,13.11,0.57,49.51
SHERMAN,35.55,36.28,1.26,1.2,0.33,34.47,2.11,25.2,24.73,1.01,0.74,0.27,43.01,41.27,0.21,0.21,0,34.08,0.98,33.05,27.08,13.86,10.59,36.29,34.38,1.49,1.42,0.5,16.53,5.28,4.02,4.4,7.12,7.18,1.55,11.81,10.7,9.3,6.96,0.18,2.98,6.02,12.44,11.06,6.6,7.22,2.83,3.65,3.71,16.98,17.1,8.46,10.14,22.82
SMITH,17.37,17.34,3.57,3.58,0.84,31.04,6.08,16.77,17.09,1.61,1.74,0.31,22.67,21.63,1.87,1.64,0.49,16.22,2.41,18.19,16.03,15.03,9.96,10.45,11.09,2.16,2.18,0.27,16.78,2.77,12.12,12.47,4,4.07,3.1,15.76,14.74,3.21,2.82,0.43,14.36,2.23,16.72,17.06,3.98,3.98,1.78,11.57,11.34,8.26,8.17,7.13,18.82,10.72
SOMERVELL,29.58,29.23,2.13,2,0.84,42.95,2.31,27.6,34.5,0.74,0.78,0.39,26.83,25.22,1.72,1.69,0.54,17.11,12.42,13.36,11.86,19.52,14.51,7.56,7.65,4.14,4.03,0.77,6.46,6,7.11,7.55,17.8,17.64,10.41,6.39,5.71,26.05,18.48,5.15,4.29,14.7,5.75,5.49,26.91,26.56,3.82,3.13,3.16,37.15,36.96,39.31,3.34,34.18
STARR,0.05,0.05,20.74,20.11,11.24,0.42,29.16,0.08,0.08,17.49,14.37,5.49,0.07,0.05,24.95,15.84,5.12,0.14,15.42,0.38,0.29,32.82,19.65,0.03,0.04,9.8,9.48,0.17,0.07,23.33,0.02,0.02,22.83,33.08,20.55,0.22,0.17,40.25,23.85,3.72,0.18,13.84,0.66,0.41,37.63,25.45,15.92,0.14,0.13,29.28,30.93,13.94,0.08,23.94
STEPHENS,30.32,29.92,0.79,0.81,0.42,47.39,1.46,31.75,33.6,0.87,0.93,0.22,19.86,18.7,4.71,4.12,1.06,13.9,5.05,10.15,7.99,20.49,15.88,1.3,1.3,4.06,4.03,0.76,1.44,12.62,2.21,2.31,32.19,33.06,12.15,5.26,4.69,15.13,12.45,7.32,1.19,15.4,3.55,3.48,28.22,30.53,11.86,1.33,1.32,40.44,38.57,30.22,1.13,43.4
STERLING,40.77,39.67,0.77,0.77,0,46.24,1.17,44.1,46.51,0.24,0.24,0,38,33.66,1.45,1.45,0,23.95,0,24.8,19.38,9.69,6,38.93,37.44,0.68,0.68,0,35.79,3.32,19.74,22.59,3.83,4.03,0.39,21.33,19.6,5.86,5.19,0.86,12.97,13.35,22.97,21.29,6.53,6.43,2.21,6.89,6.78,19.55,19.89,7.34,6.26,21.18
STONEWALL,12.32,12.84,9.68,9.05,2.32,28.83,10.69,4.85,5.34,15.43,19.68,1.98,7.9,7.13,5.2,5.49,1.25,2.56,42.22,0,0,44.43,33.58,0,0,36.07,36.88,3.34,1.61,19.52,0.67,0.75,42.6,45.59,19.88,1.01,1.01,44.73,32.55,14.91,2.69,35.23,7.94,7.94,35.4,32.38,12.25,1.47,1.47,49.76,48.78,15.4,0.98,53.03
SUTTON,27.27,27.92,2.88,2.96,1.06,39.58,1.58,32.96,34.82,1.05,1.3,0,9.9,9.46,10.26,8.63,1.52,17.57,4.92,11.44,10.62,16.81,12.76,9.86,9.33,11.01,10.74,0.42,4.81,6.03,2.41,2.53,5.54,5.66,1.27,9.5,9.02,11.2,7.29,0.36,3.94,2.44,5.44,5.39,16.95,17.47,2.33,4.97,5.01,12.32,12.32,2.8,4.14,24.57
SWISHER,17.95,18.2,3,2.97,1.14,22.74,5.82,10.2,10.25,9.97,11.39,4.75,6.08,6.11,9.04,8.9,1.19,6.94,8.58,3.09,2.81,29.22,23.17,1.13,1.19,12.09,12.34,12.87,6.57,7.92,1.25,1.37,24.3,24.72,3.08,2.91,2.68,14.18,11.67,0.82,1.36,14.89,2.3,2.28,19.27,19.77,15.74,0.86,0.78,40.11,40.93,14.66,1.21,34.45
TARRANT,9.63,9.61,6.56,6.54,2.18,20.99,10.24,9.31,9.58,3.79,4.95,1.03,9.54,9.39,3.31,2.88,1.9,11.75,2.51,11.21,9.75,22.2,16.53,4.21,4.51,1.49,1.54,0.48,2.93,3.55,4.17,4.06,4.36,4.35,4.63,10.44,9.43,3.34,2.81,0.62,4.83,1.35,11.56,11.25,4.35,4.18,2.71,5.54,5.54,4.45,4.45,4.41,12.74,11.07
TAYLOR,10.81,10.84,2.47,2.38,0.75,29.87,4.4,16.4,16.67,1.22,1.29,0.37,15.09,14.67,1.07,1.01,0.46,17.16,1.6,16.96,15.13,14.24,10.62,11.58,11.73,1.57,1.55,0.87,9.14,2.86,5.65,5.58,3.23,3.35,1.01,12.58,11.52,2.85,2.25,0.25,13.96,2.7,14.42,12.64,3.89,3.9,0.84,12.1,12.2,6.37,6.24,4.15,16.62,17.82
TERRELL,8.37,8.37,28.34,25.55,6.17,17.08,22.29,12.09,12.44,9.74,13.62,3.05,8.39,7.61,18.68,15.32,6.82,3.7,44.1,8.68,7.07,26.05,19.6,0,0,36.95,38.89,43.67,0.52,38.14,0.87,0.87,47.7,55.42,62.39,1.11,1.11,45.86,33,27.94,0.37,27.89,2.72,2.6,19.24,18.65,19.13,0,0,35.57,36.43,6.16,0,43.92
TERRY,17.74,17.85,1.9,1.79,0.36,26.23,3.44,22.54,24.34,1.4,1.59,0.37,18.43,18.25,4.06,3.41,0.37,10.92,11.83,4.39,4.07,30.48,23.79,1.94,1.98,13.76,13.74,0.65,1.63,17.68,1.73,1.88,14.32,14.46,1.15,6.84,6.49,10.07,8.55,6.47,4.7,7.07,5.69,5.53,6.69,7.28,1.81,2.08,2.1,16.32,15.75,10.52,2.54,34.64
THROCKMORTON,36.75,36.91,0.58,0.5,0.33,34.34,3.43,28.07,30.18,0,0,0,51.97,42.33,0,0,0,0,23.99,0,0,50.72,33.11,0,0,17.8,16.42,3.74,1.33,14.81,1.94,2.64,29.84,30.23,4.27,1.46,1.38,32.18,24.14,34.79,1.61,17.76,1.79,1.63,39.36,42.62,51.86,0,0,46.08,54.81,25.37,0,59.46
TITUS,19.2,19.19,3.4,3.31,0.91,27.61,4.85,11.17,11.38,2.62,2.8,1.04,9.86,9.56,3.8,3.79,0.92,9.33,11.95,6.54,5.63,31.32,25.05,2.33,2.44,13.13,13.6,2.16,3.8,15.53,2.72,2.83,21.64,22.16,6.56,4.37,3.87,22.75,18.69,5.59,1.81,15.4,4.6,4.52,30.16,34.35,22.56,1.55,1.58,31.66,31.14,23.73,1.67,43.07
TOM GREEN,11.04,11.1,2.8,2.65,1.4,27.45,4.86,13.52,13.72,1.44,1.55,0.47,14.66,14.33,1.72,1.58,0.41,16.04,1.82,13.38,12.29,15.58,12.02,13.97,14.45,1.63,1.7,0.56,11.98,3.36,11.12,11.54,4,4.14,1.13,16.97,15.19,3.57,3.16,0.4,9.16,2.06,13.84,13.64,7.39,7.16,2.29,8.13,8.2,5.06,5.05,4.23,10.7,22.76
TRAVIS,5.29,5.32,15.36,14.52,7.06,12.72,21.61,5.41,5.43,6.75,7.6,2.48,7.03,6.84,6.94,6.14,2,8.59,6.51,2.68,6.43,33.46,25.15,2.71,2.88,3.31,3.51,1.5,5.28,11.99,3.78,3.62,8.22,8.22,6.25,8.95,7.55,6.49,4.84,1.01,4.7,4.89,10.26,9.89,9.2,8.68,4.93,4.96,4.95,10.94,10.95,9.05,10.07,19.23
TRINITY,24.4,23.99,1.87,1.88,0.79,30.79,4.06,20.88,21.27,3.26,3.51,0.84,11.9,11.4,8.21,7.04,1.29,6.62,23.15,2.93,2.62,39.55,29.84,1.22,1.29,18.51,19.56,1.32,0.78,28.27,1.07,1.06,25.43,26.76,8.87,3.66,3.28,22.72,18.63,1.66,1.68,21.16,4.58,4.4,32.14,31.31,4.35,1.95,1.94,33.29,34.08,16.94,3.36,36.91
TYLER,24.56,24.03,2.32,2.28,0.59,32.94,4.68,18.72,18.51,2.44,2.6,0.87,26.67,24.49,3.54,3.34,0.63,10.26,11.3,7.65,6.69,32.58,24.54,1.48,1.54,18.29,18.63,4.2,1.04,31.41,1.22,1.3,18.74,19.76,3.18,3.28,2.92,28.33,23.08,7.18,1.21,15.28,6.41,6.12,24.62,25.6,11.62,1.47,1.45,30.62,30.68,14.51,1.58,38.68
UPSHUR,18.12,18.33,2.6,2.58,1.06,31.38,3.75,14.91,15.29,0.96,1.05,0.32,20.49,19.92,1.86,1.74,0.67,17.45,3.55,11.64,10.14,22.93,17.62,4.7,4.97,8.55,8.6,6.76,7.12,11.86,3.01,3.16,25.85,26.72,22.65,6.26,5.64,19.01,15.46,5.21,3.1,15.61,6.18,6.05,21.14,23.81,12.83,2.91,3.05,30.18,29.44,25.93,2.95,27.85
UPTON,41.41,41.6,1.57,1.47,0.81,29.67,7.41,5.49,5.82,13.94,16.38,0.99,4.84,4.47,19.1,16.27,2.78,0.15,29.37,0,0,38.2,27.54,0,0,15.65,14.6,14.65,0,22.55,0,0,16.93,17.69,2.33,0,0,36.1,28.17,8.64,0.54,10.28,3.58,3.41,22.14,24.17,2.37,1.18,0.85,45.07,44.6,27.47,1.72,51.6
UVALDE,7.23,7.19,12.54,12.35,2.85,13.74,17.13,8.44,8.46,9.55,11.21,1.38,7.88,7.56,12.19,10.29,4.69,8.75,19.46,8.72,7.9,29.03,25.42,2.5,2.64,11.78,11.96,1.28,1.19,23.35,1.41,1.44,27.75,30.37,9.48,4.45,4.02,17.96,14.2,2.77,2.24,14.65,5.78,5.65,13.99,13.24,4.74,2.92,2.88,30.17,29.04,8.08,2.27,34.4
VAL VERDE,4.34,4.31,12.15,11.75,10.36,9.63,10.15,4.7,4.76,11.84,12.93,5.2,3.82,3.6,8.59,6.71,5.59,5.25,10.18,4.41,3.89,19.79,17.21,1.29,1.27,6.07,6.13,0.29,2.54,7.1,1.76,1.81,8.96,9.7,1.6,4.06,3.7,18.31,13.26,0.28,2.72,13.21,8.3,8.09,9.19,8.75,4.12,3.77,3.82,19.56,20.38,8.27,5.41,20.63
VAN ZANDT,23.9,24.07,1.84,1.85,0.76,34.04,3.27,17.81,18.5,1.28,1.39,0.23,22.57,22.01,1.37,1.32,0.57,21.11,2.37,16.74,14.95,19.07,14.83,6.87,7.37,1.98,2.03,0.56,4.51,5.86,5.42,5.78,10.79,10.67,4.26,10.41,8.98,9.78,8.01,0.87,3.17,7.97,8.32,8.19,12.72,13.61,12.71,3.12,3.15,23.68,23.15,18.14,5.28,28.7
VICTORIA,16.17,16,3.45,3.4,1.9,23.33,6.53,12.65,12.93,1.51,2.76,1.22,15.24,14.79,4.87,4.41,3.32,14.88,7.32,11.06,9.98,18.28,14.16,7.47,7.67,5.72,5.59,5.82,5.11,7.15,3.46,3.59,10.54,11.65,2.84,8.83,7.65,4.23,3.36,1.34,9.17,5.13,12.3,9.81,6.49,5.55,2.16,4.56,4.57,5.83,5.78,3.85,8.12,13.76
WALKER,20.79,20.53,3.72,3.68,1.29,28.23,6.94,16.63,17.11,2.41,2.56,0.91,18.63,18.05,2.53,2.35,0.82,19.11,4.85,16.89,15.06,19.98,15.46,8.57,9.03,2.72,2.81,0.6,12.3,7.88,8.5,8.48,5.1,5.13,2.15,11.06,9.94,4.14,3.35,0.24,5.52,5.87,10.45,10.22,17.44,16.75,9.92,3.92,3.93,17.46,17.59,13.91,8.25,18.49
WALLER,12.68,12.59,3.81,3.88,1.32,20.37,6.12,13.25,13.51,2.77,2.96,0.67,12.15,11.85,3.36,2.75,1.51,15.02,3.22,13.15,11.28,17.6,14.59,9.7,9.95,2.25,2.43,0.41,11.67,5.38,8.53,8.85,7.59,7.67,2.56,7.66,7,6.19,5.4,0.42,4.5,10.56,6.92,6.85,14.35,13.02,2.07,3.42,3.5,15.92,16.03,9.11,3.46,26.74
WARD,11.28,11.21,9.18,8.83,1.54,23.09,7.87,10.37,10.78,7.85,8.53,0.88,9.6,9.44,3.66,3.17,2.21,11.36,12.3,2.39,2.03,35.34,28.84,1.08,1.08,34.84,34.38,7.65,0.73,22.75,0.76,0.84,35.6,38.18,30.52,1.85,1.66,32.48,25.94,1.23,0.47,23.46,2.35,2.3,30.73,31.63,13.26,1.57,1.55,32.11,32.14,24.24,2.53,44.38
WASHINGTON,24.27,23.91,3.42,3.41,1.74,30.58,4.86,19.69,20.12,1.52,1.62,0.73,27.55,26.66,1.56,1.44,0.72,28.08,3.17,26.41,23.95,15.08,11.49,9.1,9.31,2.76,2.87,0.77,14.87,5.18,10.22,10.59,3.64,3.63,1.8,23.49,21.18,7.17,6.13,0.55,6.69,1.99,13.33,13.01,5.79,5.79,1.19,8.9,8.98,9.06,8.84,4.85,8.28,21.43
WEBB,1.13,1.13,16.75,16.45,9.02,3.47,21.9,1.01,1.01,19.53,21.02,9.83,1.12,1.05,19.86,16.79,15.43,1.17,26.37,1.22,1.11,41.61,37.06,0.74,0.86,25.8,25.27,18.35,0.9,28.97,0.68,0.68,31.58,35.48,12.59,1.56,1.38,26.68,22.8,26.87,0.71,15.18,1.26,1.23,26.83,25.59,4.58,0.65,0.67,27.3,27.58,12.55,0.75,27.3
WHARTON,17.06,16.84,3.37,3.44,1.23,27.68,5,14.85,15.09,1.77,1.87,0.41,19.63,19.08,2.34,2.16,0.78,19.95,4.75,14.77,13.29,20.8,15.68,9.93,9.6,2.5,2.61,0.37,10.41,4.13,7.85,8.4,13.65,13.72,2.44,19.86,17.68,7,6.18,0.21,3.46,13.2,10.67,10.56,16.8,16.52,5.91,2.68,2.72,27.61,27.64,21.08,3.39,35.05
WHEELER,29.31,30.28,0.7,0.7,0.32,48.58,1.82,19.31,20.01,1.06,1.17,0.15,39.9,36.04,0.91,0.91,0.49,19.5,7.58,15.18,9.38,21.22,15.5,3.83,4.05,12.78,12.91,0.72,6.41,19.34,1.42,1.61,18.37,19.55,11.39,8.15,7.3,30.55,23.62,10.42,3.65,23.34,6.21,5.97,24.6,25.57,19.36,3.84,3.84,31.6,33.33,19.89,4.62,45.3
