County,2018_Rep_Gov,2018_Rep_Sen,2018_Dem_Sen,2018_Dem_Gov,2018_Dem_Gov_Runoff,2016_Rep_Pres,2016_Dem_Pres,2014_Rep_Sen,2014_Rep_Gov,2014_Dem_Sen,2014_Dem_Gov,2014_Dem_Sen_Runoff,2012_Rep_Pres,2012_Rep_Sen,2012_Dem_Pres,2012_Dem_Sen,2012_Dem_Sen_Runoff,2010_Rep_Gov,2010_Dem_Gov,2008_Rep_Pres,2008_Rep_Sen,2008_Dem_Pres,2008_Dem_Sen,2006_Rep_Sen,2006_Rep_Gov,2006_Dem_Sen,2006_Dem_Gov,2006_Sen_Dem_Runoff,2004_Rep_Pres,2004_Dem_Pres,2002_Rep_Sen,2002_Rep_Gov,2002_Dem_Sen,2002_Dem_Gov,2002_Dem_Sen_Runoff,2000_Rep_Pres,2000_Rep_Sen,2000_Dem_Pres,2000_Dem_Sen,2000_Dem_Sen_Runoff,1998_Rep_Gov,1998_Dem_Gov,1996_Rep_Pres,1996_Rep_Sen,1996_Dem_Pres,1996_Dem_Sen,1996_Dem_Sen_Runoff,1994_Rep_Sen,1994_Rep_Gov,1994_Dem_Sen,1994_Dem_Gov,1994_Dem_Sen_Runoff,1992_Rep_Pres,1992_Dem_Pres
HARRIS,6.7,6.72,6.96,7.01,2.52,15.55,10.59,6.71,6.77,2.42,2.56,0.93,8.45,8.34,3.81,3.27,1.43,8.37,5.25,9.28,8.26,22.29,17.39,3.89,4.07,1.61,1.77,0.67,4.34,4.05,4.48,4.43,4.42,4.67,3.41,9.15,6.12,2.97,2.13,0.49,4.92,1.34,10.66,10.01,5.13,4.29,2.47,7.24,7.35,7.72,7.99,5.27,10.89,10.66
HARRISON,15.95,15.96,3.2,3.12,0.73,24.15,6.18,12.33,12.65,2.72,2.95,0.37,19.3,17.53,2.15,2.07,1.58,10.82,5.97,10.67,9.37,22.27,16.82,5.98,6.14,4.52,4.7,1.88,6.53,9.66,4.63,5.03,17.35,18.13,4.83,7.46,6.69,16.65,12.85,2.61,3.34,10.12,6.26,6.09,23.58,26.41,15.45,2.95,2.97,23.73,23.69,20.14,4.38,26.39
HARTLEY,23.03,23.21,1.11,1.11,0.21,38.5,1.83,29.88,30.12,0,0,0,21.61,20.78,0,0,0,26.45,0,27.98,25.59,11.65,9.52,21.28,21.7,2.04,2.04,0.04,34.08,2.75,14.74,15.68,5.73,5.9,1.42,22.97,21.26,6.66,5.86,0.53,5.63,3.21,13.26,13.13,6.72,7.1,1.28,8.28,8.2,15.71,15.71,5.61,10.93,32.07
HASKELL,14.86,15.47,3.37,3.31,0.89,24.29,8.15,7.05,7.25,5.15,5.96,1.38,5.09,5.17,6.82,6.27,2.64,5.39,27.13,3.65,3.24,33.86,23.56,0.58,0.58,21.32,22.53,4.38,0.97,23.02,0.82,0.8,24.1,26.04,5.28,1,0.85,37.22,26.31,33.36,0.83,23.59,1.81,1.76,34.92,34.24,36.66,3.54,3.59,38.58,38.56,38.18,0,45.65
HAYS,9.8,9.74,9.35,9.1,4.56,18.54,12.94,8.35,8.46,2.84,3.11,1.36,10.39,9.96,3.74,3.31,1.07,6.52,5.95,9.24,8.27,23.12,17.8,4.34,4.68,2.56,2.77,0.46,6.09,6.32,6.73,6.75,6.33,6.56,3.79,10.94,9.99,4.74,3.89,0.45,7.43,4.52,11.9,11.67,9.07,8.66,4.75,5.17,5.04,13.13,12.97,12.02,8.53,18.05
HEMPHILL,38.85,40.38,0.61,0.61,0.26,55.63,1.02,24,24.59,0.76,0.9,0.36,38.33,36.6,0.79,0.65,0.47,33.82,0.97,48.01,40.59,5.89,4.16,27.46,25.85,2.42,2.33,0.4,46.06,1.45,31.21,37.31,3.77,3.87,0.84,30.91,27.04,3.87,2.87,0.7,28.97,3.64,22.54,21.69,5.52,5.42,1.51,16.47,16.8,6.21,6.45,3.29,20.57,26.19
HENDERSON,20.33,20.23,2.82,2.8,1.36,31.55,4.59,17.29,17.54,1.9,2.08,0.6,17.66,17.24,2.32,2.01,0.65,17.69,3.01,19.83,17.98,17.29,13.55,9.64,10.17,2.68,2.71,0.23,8.87,4.79,5.86,6.06,10.3,10.07,8.02,9.53,8.94,10.75,9.41,6.5,3.8,5.86,5.31,5.23,19.24,21.14,5.31,5.79,5.84,18.18,17.65,15.31,7.88,24.21
HIDALGO,2,2.02,10.81,9.9,3.16,5.86,18.34,1.88,1.92,10.92,11.68,2.27,2.19,2.07,15.23,11.64,5.07,1.73,12.26,1.98,1.72,29.23,21.67,0.68,0.76,11.78,11.82,6.71,0.9,15.65,0.74,0.78,16.55,19.89,16.21,2.46,2.27,17.64,11.86,6.08,1.11,9.22,3.13,3.06,18.75,15.91,14.9,1.91,1.9,21.09,21.78,21.3,2.41,22.26
HILL,19.17,19.06,2.58,2.63,1.43,40.04,4.66,25.49,25.88,1.89,1.98,0.37,20.46,20,1.55,1.44,0.45,21.52,3.58,16.48,14.75,19.29,14.81,6.62,6.79,4.88,4.87,0.44,5.99,6.57,3.88,4.01,14.79,14.47,3.71,8.8,7.57,9.02,7.18,3.74,2.67,9.32,7.88,7.76,14.42,14.78,2.86,3.25,3.25,19.64,19.47,9.68,4.21,35.04
HOCKLEY,16.29,16.46,1.27,1.22,0.31,30.7,2.34,12.94,13.3,0.89,0.97,0.13,22.78,22.36,0,0,0,21.95,0,20.11,17.86,9.77,7.74,10.74,10.18,0.86,0.81,0.06,17.1,2.22,9.17,10.2,2.6,2.71,0.24,11.27,10.42,6.62,5.55,0.12,4.16,3.95,7.29,7.16,6.92,7.26,1.45,2.03,2.01,14.6,14.62,2.91,2.84,25.94
